season,week,t,w_shap_judge,w_entropy_judge,w_final_judge,w_final_fan
1,1,0.16666666666666666,1.0,0.4986796298112204,0.7994718519244881,0.2005281480755119
1,2,0.3333333333333333,0.9949121983699858,0.471085113947759,0.7853813646010951,0.2146186353989049
1,3,0.5,1.0,0.3556407522538254,0.7422563009015302,0.25774369909846984
1,4,0.6666666666666666,0.9846539012186777,0.4726437811509998,0.7798498531916065,0.2201501468083935
1,5,0.8333333333333334,0.9098481337776049,0.49905631419275914,0.7455314059436666,0.2544685940563334
1,6,1.0,0.5,0.5,0.5,0.5
2,1,0.125,0.9950911294252593,0.2670939013895718,0.7038922382109843,0.29610776178901566
2,2,0.25,0.9920388253436802,0.47417254208634313,0.7848923120407454,0.2151076879592546
2,3,0.375,0.9972000656185841,0.5124664056554195,0.8033066016333182,0.19669339836668176
2,4,0.5,0.9124050231133217,0.32355540430004004,0.6768651755880091,0.32313482441199093
2,5,0.625,0.9728970845510292,0.43064441600439163,0.7559960171323741,0.24400398286762592
2,6,0.75,1.0,0.5174087933683249,0.80696351734733,0.19303648265267004
2,7,0.875,1.0,0.4270229228229484,0.7708091691291794,0.2291908308708206
2,8,1.0,1.0,0.49997925579166047,0.7999917023166642,0.20000829768333583
3,1,0.1,0.9841505927948152,0.48835221021752767,0.7858312397639002,0.21416876023609976
3,2,0.2,0.9966570290582549,0.5779905639026214,0.8291904429960015,0.17080955700399847
3,3,0.3,0.9702720050637842,0.5636879449605149,0.8076383810224765,0.19236161897752346
3,4,0.4,0.9961552211795376,0.5554393887539631,0.8198688882093078,0.1801311117906922
3,5,0.5,1.0,0.7049946409620812,0.8819978563848325,0.11800214361516748
3,6,0.6,0.9856812928535892,0.4975522249463906,0.7904296656907097,0.20957033430929028
3,7,0.7,1.0,0.4996041318156309,0.7998416527262524,0.2001583472737476
3,8,0.8,0.8884086479943669,0.4994185315202924,0.7328126014047371,0.26718739859526286
3,9,0.9,0.5,0.5,0.5,0.5
3,10,1.0,0.5,0.5,0.5,0.5
4,1,0.1,0.9746833911185923,0.49060915615958434,0.7810536971349891,0.21894630286501093
4,2,0.2,0.9950663629036377,0.5746628862592541,0.8269049722458843,0.17309502775411567
4,3,0.3,1.0,0.5305803442848757,0.8122321377139503,0.1877678622860497
4,4,0.4,0.9920048017634582,0.5321694048210992,0.8080706429865145,0.19192935701348546
4,5,0.5,0.9910173742556202,0.48925586837680607,0.7903127719040945,0.20968722809590545
4,6,0.6,0.9891905527708673,0.549024300298494,0.8131240517819179,0.18687594821808207
4,7,0.7,0.9938666479982986,0.53132294421307,0.8088491664842072,0.19115083351579276
4,8,0.8,0.984117531867827,0.4979703278060427,0.7896586502431132,0.2103413497568868
4,9,0.9,0.9727809307505622,0.49989798264941326,0.7836277515101026,0.21637224848989745
4,10,1.0,0.9098481337776049,0.4998366406562,0.7458435365290429,0.2541564634709571
5,1,0.1,0.9859927172289246,0.4924585956600951,0.7885790686013928,0.21142093139860718
5,2,0.2,1.0,0.5571879994899154,0.8228751997959661,0.17712480020403387
5,3,0.3,0.9989037103153631,0.4949166067946443,0.7973088689070755,0.20269113109292447
5,4,0.4,1.0,0.5386616227901304,0.8154646491160522,0.1845353508839478
5,5,0.5,0.994090998912611,0.49777828256468454,0.7955659123734404,0.20443408762655957
5,6,0.6,0.967733054779654,0.5919720793365782,0.8174286646024237,0.1825713353975763
5,7,0.7,0.9844191741258297,0.49967250490945786,0.7905205064392808,0.20947949356071915
5,8,0.8,0.9622962079854371,0.54163402894961,0.7940313363711062,0.20596866362889377
5,9,0.9,0.9776433130924669,0.5185020436980614,0.7939868053347047,0.20601319466529533
5,10,1.0,0.9043168052319339,0.4999882065411777,0.7425853657556314,0.2574146342443686
6,1,0.1,0.9923690578650162,0.49426013601056357,0.7931254891232351,0.2068745108767649
6,2,0.2,0.9983921558875857,0.49160688989162665,0.7956780494892021,0.20432195051079793
6,3,0.3,0.9956056167610939,0.5670882574952095,0.8241986730547401,0.17580132694525985
6,4,0.4,0.9874459590384861,0.4943084524676392,0.7901909564101472,0.20980904358985275
6,5,0.5,0.9872416195312806,0.4954186120064751,0.7905124165213584,0.2094875834786416
6,6,0.6,1.0,0.49604795406830376,0.7984191816273215,0.2015808183726785
6,7,0.7,1.0,0.5184933277642528,0.8073973311057011,0.1926026688942989
6,8,0.8,0.9786955237017017,0.5317463091766459,0.7999158378916793,0.2000841621083207
6,9,0.9,1.0,0.49982537726870746,0.799930150907483,0.20006984909251702
6,10,1.0,1.0,0.49974356661117375,0.7998974266444695,0.2001025733555305
7,1,0.1,0.9773683452692462,0.49147766465923187,0.7830120730252405,0.21698792697475955
7,2,0.2,0.9985690509555151,0.5679690703232675,0.8263290587026161,0.17367094129738392
7,3,0.3,0.9749054556022161,0.49240032784700505,0.7819034045001317,0.21809659549986826
7,4,0.4,0.9903164419917754,0.4947431729507577,0.7920871343753684,0.20791286562463163
7,5,0.5,1.0,0.5466130981178364,0.8186452392471346,0.18135476075286538
7,6,0.6,1.0,0.4965527049253202,0.798621081970128,0.20137891802987196
7,7,0.7,0.9592045100734726,0.58802035825961,0.8107308493479275,0.1892691506520725
7,8,0.8,0.9607433685715744,0.4992919180634021,0.7761627883683055,0.22383721163169445
7,9,0.9,0.903481244876489,0.4972523177786176,0.7409896740373404,0.2590103259626596
7,10,1.0,1.0,0.5,0.8,0.19999999999999996
8,1,0.09090909090909091,0.9698889877473094,0.4904884869874704,0.7781287874433738,0.22187121255662623
8,2,0.18181818181818182,0.995408648835546,0.583394817736631,0.8306031163959801,0.16939688360401994
8,3,0.2727272727272727,0.9967407870568038,0.5630711944127653,0.8232729499991884,0.17672705000081157
8,4,0.36363636363636365,0.9878865410749446,0.48483490827354603,0.7866658879543851,0.21333411204561492
