season,method,fairness_rate,popularity_spearman,excitement_avg_var,revival_used
1,rank,1.0,0.6,0.15148148148148147,False
2,rank,,0.8303030303030302,0.13118233360579767,False
3,rank,,0.9,0.135783023813254,False
4,rank,,0.9020524542048464,0.12085798130958167,False
5,rank,,0.8321678321678322,0.11882656254410542,False
6,rank,,0.9580419580419581,0.1139395719069691,False
7,rank,,0.9340659340659341,0.11900538662934082,False
8,rank,,0.9395604395604396,0.11846046817875654,False
9,rank,1.0,0.9735294117647059,0.11650646195966492,False
10,rank,,0.9454545454545454,0.12199817199500793,False
11,rank,,0.8741258741258742,0.12586719079597036,False
12,rank,,0.9454545454545454,0.12573409798079863,False
13,rank,,0.9036791441564668,0.11741145276981316,False
14,rank,,0.9370629370629372,0.12225230124763405,False
15,rank,,0.8571428571428571,0.11574140437905078,False
16,rank,,0.965034965034965,0.11440028089578927,False
17,rank,,0.7902097902097903,0.11812295529740613,False
18,rank,,0.9930069930069931,0.11386916401230214,False
19,rank,1.0,0.967032967032967,0.11281874992008048,False
20,rank,,0.9597212616235344,0.1174935018635935,False
21,rank,,0.9505494505494506,0.11760667568932223,False
22,rank,,0.9230769230769231,0.11009177133893042,False
23,rank,,0.9505494505494506,0.11283812328534126,False
24,rank,1.0,0.9702291586486097,0.11710054439207578,False
25,rank,,0.9793681892276984,0.10643912484167022,False
26,rank,,0.9848069807617047,0.12283359119110607,False
27,rank,,0.8461538461538461,0.11531994706729692,False
28,rank,,0.9300699300699302,0.11378647678671046,False
29,rank,,0.9535714285714283,0.11700631471203424,False
30,rank,,0.8642857142857141,0.11034721889725425,False
31,rank,,0.9558823529411766,0.11442214881721799,False
32,rank,,0.9537468070114979,0.10941755682669109,False
33,rank,,0.9848702577065058,0.11273414405846578,False
34,rank,,0.9032967032967033,0.11168836772765359,False
1,percent,1.0,0.942857142857143,0.1550596405547333,False
2,percent,,0.9999999999999999,0.13207160350625893,False
3,percent,,1.0,0.14087400561429475,False
4,percent,,0.9818181818181818,0.12848849933004117,False
5,percent,,0.9720279720279721,0.12367193811407189,False
6,percent,,0.9860139860139862,0.11836379473640765,False
7,percent,,1.0,0.12315422130729106,False
8,percent,,0.9780219780219779,0.11566232134983659,False
9,percent,1.0,0.9941176470588234,0.12137288150538181,False
10,percent,,1.0,0.12448576970782052,False
11,percent,,1.0,0.12361875996066667,False
12,percent,,1.0,0.13210895443742,False
13,percent,,0.9930069930069931,0.11463184689986292,False
14,percent,,1.0,0.1234813761579379,False
15,percent,,0.9945054945054945,0.11023416564819173,False
16,percent,,0.9930069930069931,0.11367420836722283,False
17,percent,,0.9930069930069931,0.11657757400921387,False
18,percent,,0.9930069930069931,0.1076540410824914,False
19,percent,1.0,0.989010989010989,0.11354263356702242,False
20,percent,,0.9930069930069931,0.12413512533254678,False
21,percent,,0.9945054945054945,0.12468429641306487,False
22,percent,,1.0,0.1131590074637547,False
23,percent,,1.0,0.11351326032109671,False
24,percent,1.0,1.0,0.12395600643439789,False
25,percent,,0.9945054945054945,0.10519368774755782,False
26,percent,,0.9878787878787878,0.12209368804002627,False
27,percent,,0.9945054945054945,0.10918319587599343,False
28,percent,,0.9860139860139862,0.11232107869237672,False
29,percent,,0.9964285714285712,0.11531510933059853,False
30,percent,,1.0,0.10371262700831499,False
31,percent,,1.0,0.11498989506789048,False
32,percent,,1.0,0.11309885692696162,False
33,percent,,0.989010989010989,0.11792504374153251,False
34,percent,,0.9956043956043955,0.10727145709190472,False
1,dynamic,1.0,0.6571428571428573,0.15793334793699462,False
2,dynamic,,0.7818181818181817,0.13259144111979349,False
3,dynamic,,0.7545454545454545,0.142653795529281,False
4,dynamic,,0.8000000000000002,0.1298781833160812,False
5,dynamic,,0.8461538461538463,0.12340803098209636,False
6,dynamic,,0.9230769230769231,0.11484255594380674,False
7,dynamic,,0.7362637362637362,0.12517488593861498,False
8,dynamic,,0.8681318681318682,0.11543625671053713,False
9,dynamic,1.0,0.9058823529411765,0.12029735782834483,False
10,dynamic,,0.9181818181818183,0.12293530237925318,False
11,dynamic,,0.8391608391608393,0.1253884185451384,False
12,dynamic,,0.9,0.13236118080953302,False
13,dynamic,,0.7972027972027973,0.11412386196826754,False
14,dynamic,,0.8811188811188813,0.12153099599040607,False
15,dynamic,,0.7527472527472527,0.11076961864353456,False
16,dynamic,,0.9160839160839163,0.11292715145856728,False
17,dynamic,,0.7272727272727274,0.11328156612578894,False
18,dynamic,,0.8951048951048951,0.10830500912351271,False
19,dynamic,1.0,0.8516483516483516,0.11357366992265892,False
20,dynamic,,0.7132867132867133,0.12888247842293718,False
21,dynamic,,0.8736263736263737,0.12444405088752104,False
22,dynamic,,0.8881118881118882,0.11175833082650674,False
23,dynamic,,0.8681318681318682,0.1141399741453797,False
24,dynamic,1.0,0.8461538461538463,0.12561717270566714,False
25,dynamic,,0.7692307692307693,0.10457551740730506,False
26,dynamic,,0.9151515151515152,0.12219804314798641,False
27,dynamic,,0.7582417582417583,0.11424431566086309,False
28,dynamic,,0.8461538461538463,0.11041296944504793,False
29,dynamic,,0.8499999999999999,0.1116254368324831,False
30,dynamic,,0.657142857142857,0.10326348891536208,False
31,dynamic,,0.8735294117647058,0.11252539053378056,False
32,dynamic,,0.7846153846153847,0.11254297402711205,False
33,dynamic,,0.9505494505494506,0.11634400578384997,False
34,dynamic,,0.8637362637362638,0.10295005103818947,False
