phi_J,phi_F,phi_J_normalized,phi_F_normalized,v_J,v_F,v_JF,marginal_J,marginal_F,season,week,n_contestants,t
0.46291004988627577,0.5370899501137243,0.46291004988627577,0.5370899501137243,0.9258200997725515,1.0,1.0,0.0,0.07417990022744847,1,1,6,0.16666666666666666
0.7285714285714285,0.27142857142857146,0.7285714285714285,0.27142857142857146,1.0,0.5428571428571429,1.0,0.4571428571428571,0.0,1,2,6,0.3333333333333333
0.7499999999999999,0.24999999999999997,0.75,0.25,0.9999999999999999,0.49999999999999994,0.9999999999999999,0.49999999999999994,0.0,1,3,5,0.5
0.8,0.2,0.8,0.2,0.7999999999999999,0.19999999999999998,1.0,0.8,0.20000000000000007,1,4,4,0.6666666666666666
0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1,5,3,0.8333333333333334
0.49999999999999994,0.49999999999999994,0.5,0.5,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.0,1,6,2,1.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,1,10,0.125
0.9479123082096552,0.05208769179034473,0.9479123082096552,0.05208769179034473,0.9958246164193105,0.09999999999999999,1.0,0.9,0.0041753835806894735,2,2,9,0.25
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,3,8,0.375
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,4,7,0.5
0.7285714285714285,0.27142857142857146,0.7285714285714285,0.27142857142857146,1.0,0.5428571428571429,1.0,0.4571428571428571,0.0,2,5,6,0.625
0.9603484739186035,0.03965152608139652,0.9603484739186035,0.03965152608139652,0.9733285267845754,0.052631578947368425,1.0,0.9473684210526315,0.026671473215424624,2,6,5,0.75
0.611111111111111,0.38888888888888895,0.611111111111111,0.38888888888888895,1.0,0.7777777777777779,1.0,0.2222222222222221,0.0,2,7,4,0.875
0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,2,8,3,1.0
0.49886234209813474,0.5011376579018653,0.49886234209813474,0.5011376579018653,0.9977246841962695,1.0,1.0,0.0,0.0022753158037305266,3,1,11,0.1
0.6288795688879225,0.3711204311120775,0.6288795688879225,0.3711204311120775,0.9968895725584538,0.7391304347826088,1.0,0.26086956521739124,0.003110427441546215,3,2,10,0.2
0.6098659485165265,0.39013405148347347,0.6098659485165265,0.39013405148347347,0.9530652303663865,0.7333333333333334,1.0,0.2666666666666666,0.04693476963361354,3,3,9,0.3
0.6189024174266475,0.38109758257335247,0.6189024174266475,0.38109758257335247,0.9759000729485332,0.7380952380952381,1.0,0.26190476190476186,0.024099927051466796,3,4,8,0.4
0.6089250142146834,0.3910749857853167,0.6089250142146834,0.3910749857853167,0.8964214570007953,0.6785714285714287,1.0,0.3214285714285713,0.10357854299920466,3,5,7,0.5
0.49999999999999994,0.49999999999999994,0.5,0.5,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.0,3,6,5,0.6
0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,3,7,5,0.7
0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,3,8,4,0.8
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,9,3,0.9
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,10,2,1.0
